"variable","mean","sd"
"year",2017.70139634801,3.3558418566979
"e_inc_100k",130.416433941998,171.973652560261
"e_mort_100k",24.6219119226638,42.9430606029196
"c_cdr",67.7218045112782,15.2655149139063
