"Model","D_bar","D_theta_bar","p_D","DIC","Delta_DIC","Rank","Evidence"
"M1",2666291.10562861,2666281.03147518,10.0741534316912,2666301.17978204,2641361.12967918,3,"Strong evidence against"
"M2",27149.694537048,27138.8507276382,10.8438094098274,27160.5383464578,2220.48824359938,2,"Strong evidence against"
"M3",24761.3467674911,24582.6434321238,178.70333536734,24940.0501028584,0,1,"Best model"
